title,detail_url,area,community,total_price_wan,unit_price,house_info,follow_info
南进门合院，南北双花园，可看山看湖！,https://hz.ke.com/ershoufang/103134820035.html,,春风燕语,500万,22597元/平,4室2厅,
边套200平大花园，有地下室，看房方便,https://hz.ke.com/ershoufang/103127808258.html,,春风燕语,520万,24367元/平,4室2厅,
蓝城品质下叠，带地下室，诚心出售,https://hz.ke.com/ershoufang/103127871844.html,,春风燕语,395万,19173元/平,4室2厅,
